state,lga,category,total_amount,transaction_count
Akwa Ibom,Ikot Ekpene,Gift,2552906217.649685,970
Akwa Ibom,Ikot Ekpene,Healthcare,2349141442.2264423,934
Akwa Ibom,Ikot Ekpene,Insurance,2451634130.6855497,971
Akwa Ibom,Ikot Ekpene,Investment,2340127641.9382334,981
Akwa Ibom,Ikot Ekpene,Medicals,2332127238.634676,920
Akwa Ibom,Ikot Ekpene,Rent,2435276590.825551,943
Akwa Ibom,Ikot Ekpene,Restaurant,2349151114.1020904,896
Akwa Ibom,Ikot Ekpene,Salary,2292820290.08673,907
Akwa Ibom,Ikot Ekpene,Transportation,2286661537.832415,893
Akwa Ibom,Uyo,Clothing,2246033195.5627313,939
Akwa Ibom,Uyo,Debt Repayment,2429201958.3253536,967
Akwa Ibom,Uyo,Education,2383202572.561631,963
Akwa Ibom,Uyo,Entertainment,2538863317.9179053,984
Akwa Ibom,Uyo,Food,2382134938.012455,942
Akwa Ibom,Uyo,Gift,2518191420.1753683,950
Akwa Ibom,Uyo,Healthcare,2309693980.554359,916
Akwa Ibom,Uyo,Insurance,2252165405.8816776,925
Akwa Ibom,Uyo,Investment,2271531894.039999,912
Akwa Ibom,Uyo,Medicals,2311125526.993597,936
Akwa Ibom,Uyo,Rent,2439122910.4826775,976
Akwa Ibom,Uyo,Restaurant,2310529150.1809607,944
Akwa Ibom,Uyo,Salary,2502991368.008664,981
Akwa Ibom,Uyo,Transportation,2267461530.748911,914
Anambra,Awka South,Clothing,2331902891.9458046,929
Anambra,Awka South,Debt Repayment,2406288981.8780007,946
Anambra,Awka South,Education,2295992144.4714127,936
Anambra,Awka South,Entertainment,2355665523.7559934,912
Anambra,Awka South,Food,2250757515.4051795,919
Anambra,Awka South,Gift,2392780952.229516,930
Anambra,Awka South,Healthcare,2352324437.300975,941
Anambra,Awka South,Insurance,2421370746.606416,972
Anambra,Awka South,Investment,2395261395.645753,943
Anambra,Awka South,Medicals,2263384242.2707205,919
Anambra,Awka South,Rent,2372167065.831206,959
Anambra,Awka South,Restaurant,2219964802.9360514,903
Anambra,Awka South,Salary,2271166437.9304395,901
Anambra,Awka South,Transportation,2264285031.5978637,906
Anambra,Idemili South,Clothing,2470951620.4888983,970
Anambra,Idemili South,Debt Repayment,2302886097.708903,937
Anambra,Idemili South,Education,2623384683.7922673,1028
Anambra,Idemili South,Entertainment,2269761297.2408915,928
Anambra,Idemili South,Food,2521709043.007967,1022
Anambra,Idemili South,Gift,2661619263.3724785,1024
Anambra,Idemili South,Healthcare,2280537087.1199594,934
Anambra,Idemili South,Insurance,2490010848.087359,975
Anambra,Idemili South,Investment,2346226786.974534,931
Anambra,Idemili South,Medicals,2531835441.314705,997
Anambra,Idemili South,Rent,2464354541.6071215,992
Anambra,Idemili South,Restaurant,2485316001.9924803,981
Anambra,Idemili South,Salary,2540755685.7897134,1000
Anambra,Idemili South,Transportation,2512461475.2338624,979
Anambra,Nnewi North,Clothing,2512583813.2027493,1010
Anambra,Nnewi North,Debt Repayment,2230811568.5048747,920
Anambra,Nnewi North,Education,2415300072.584005,940
Anambra,Nnewi North,Entertainment,2356746974.858741,932
Anambra,Nnewi North,Food,2410304388.94822,969
Anambra,Nnewi North,Gift,2405901834.33638,936
Anambra,Nnewi North,Healthcare,2560332256.236122,1002
Anambra,Nnewi North,Insurance,2398647309.1379085,953
Anambra,Nnewi North,Investment,2237267856.041466,885
Anambra,Nnewi North,Medicals,2348604504.358608,945
Anambra,Nnewi North,Rent,2347201914.893622,954
Anambra,Nnewi North,Restaurant,2233698012.13898,906
Anambra,Nnewi North,Salary,2241852214.5429406,899
Anambra,Nnewi North,Transportation,2496598698.976535,974
Anambra,Onitsha North,Clothing,2459350908.0819473,977
Anambra,Onitsha North,Debt Repayment,2435421192.0610223,1000
Anambra,Onitsha North,Education,2572216643.391726,1016
Anambra,Onitsha North,Entertainment,2576582882.288248,983
Anambra,Onitsha North,Food,2266151146.4171925,943
Anambra,Onitsha North,Gift,2440860014.0706725,968
Anambra,Onitsha North,Healthcare,2461595284.693871,987
Anambra,Onitsha North,Insurance,2381914972.04804,930
Anambra,Onitsha North,Investment,2366765248.0576887,931
Anambra,Onitsha North,Medicals,2350665685.3659487,941
Anambra,Onitsha North,Rent,2385294519.4573984,960
Anambra,Onitsha North,Restaurant,2507728675.3161607,1001
Anambra,Onitsha North,Salary,2488656166.938839,991
Anambra,Onitsha North,Transportation,2361391171.266895,930
Delta,Sapele,Clothing,2447129001.816608,980
Delta,Sapele,Debt Repayment,2446352065.2547717,982
Delta,Sapele,Education,2420439048.5484643,961
Delta,Sapele,Entertainment,2261560375.8699937,915
Delta,Sapele,Food,2439821758.6216245,970
Delta,Sapele,Gift,2483588134.138007,979
Delta,Sapele,Healthcare,2312308799.857562,915
Delta,Sapele,Insurance,2518198562.2370186,993
Delta,Sapele,Investment,2209653827.446514,923
Delta,Sapele,Medicals,2317336204.1473513,923
Delta,Sapele,Rent,2350609039.479252,926
Delta,Sapele,Restaurant,2485769617.3186607,996
Delta,Sapele,Salary,2334641414.722306,931
Delta,Sapele,Transportation,2364251638.176957,934
Delta,Ughelli North,Clothing,2289006198.186427,924
Delta,Ughelli North,Debt Repayment,2323940454.6614013,930
Delta,Ughelli North,Education,2395821125.187478,963
Delta,Ughelli North,Entertainment,2304931868.704093,904
Delta,Ughelli North,Food,2552978012.2112203,1006
Delta,Ughelli North,Gift,2473818153.176225,941
Delta,Ughelli North,Healthcare,2299720443.465511,907
Delta,Ughelli North,Insurance,2647516052.4395366,1039
Delta,Ughelli North,Investment,2332919619.5428157,922
Delta,Ughelli North,Medicals,2307078973.5968537,937
Delta,Ughelli North,Rent,2421095972.0183735,984
Delta,Ughelli North,Restaurant,2436015791.3520017,968
Delta,Ughelli North,Salary,2369022137.0005426,949
Delta,Ughelli North,Transportation,2376249622.098914,948
Delta,Uyo,Clothing,2525259116.694925,1012
Delta,Uyo,Debt Repayment,2261770672.0322413,935
Delta,Uyo,Education,2377385143.1730857,959
Delta,Uyo,Entertainment,2414206518.963502,961
Delta,Uyo,Food,2518587210.570995,970
Delta,Uyo,Gift,2614793263.3251395,973
Delta,Uyo,Healthcare,2495947869.622006,989
Delta,Uyo,Insurance,2542805547.0342197,1008
Delta,Uyo,Investment,2701224864.20712,1063
Delta,Uyo,Medicals,2215047913.8578186,897
Delta,Uyo,Rent,2464908870.2754917,1018
Delta,Uyo,Restaurant,2548297389.1247606,1019
Delta,Uyo,Salary,2496523582.5234966,967
Delta,Uyo,Transportation,2265637295.567448,953
Delta,Warri South,Clothing,2439566037.386137,970
Delta,Warri South,Debt Repayment,2410050176.05908,943
Delta,Warri South,Education,2478840262.797066,996
Delta,Warri South,Entertainment,2617038173.7183833,1003
Delta,Warri South,Food,2310917842.404528,916
Delta,Warri South,Gift,2515440423.991595,995
Delta,Warri South,Healthcare,2379084712.1250906,946
Delta,Warri South,Insurance,2278632384.3613997,929
Delta,Warri South,Investment,2624928739.88434,1013
Delta,Warri South,Medicals,2427206331.0505595,984
Delta,Warri South,Rent,2466326832.1603765,982
Delta,Warri South,Restaurant,2425378245.8588867,962
Delta,Warri South,Salary,2343047388.038383,943
Delta,Warri South,Transportation,2446588676.6409407,991
Edo,Egor,Clothing,2172905009.1294003,912
Edo,Egor,Debt Repayment,2305914216.465396,928
Edo,Egor,Education,2304189103.5627728,942
Edo,Egor,Entertainment,2298798299.600119,920
Edo,Egor,Food,2396463899.8076363,955
Edo,Egor,Gift,2401626924.780129,922
Edo,Egor,Healthcare,2350100385.3397746,939
Edo,Egor,Insurance,2286302401.461442,916
Edo,Egor,Investment,2352655237.89944,938
Edo,Egor,Medicals,2381303780.9364095,927
Edo,Egor,Rent,2296389615.627335,904
Edo,Egor,Restaurant,2406462345.287378,975
Edo,Egor,Salary,2333838993.6868443,942
Edo,Egor,Transportation,2227624393.207406,896
Edo,Ikpoba-Okha,Clothing,2251124652.0246577,901
Edo,Ikpoba-Okha,Debt Repayment,2491589746.7735515,1009
Edo,Ikpoba-Okha,Education,2577622233.022614,983
Edo,Ikpoba-Okha,Entertainment,2372083539.3652806,964
Edo,Ikpoba-Okha,Food,2415516306.9996405,969
Edo,Ikpoba-Okha,Gift,2406500392.370744,956
Edo,Ikpoba-Okha,Healthcare,2426562780.4110885,973
Edo,Ikpoba-Okha,Insurance,2439525193.6355677,985
Edo,Ikpoba-Okha,Investment,2482202506.4962234,1002
Edo,Ikpoba-Okha,Medicals,2445082595.2153893,1001
Edo,Ikpoba-Okha,Rent,2477046469.6489005,1012
Edo,Ikpoba-Okha,Restaurant,2416233923.517613,962
Edo,Ikpoba-Okha,Salary,2328815412.3615913,968
Edo,Ikpoba-Okha,Transportation,2448300463.884299,962
Edo,Oredo,Clothing,2312712662.476673,931
Edo,Oredo,Debt Repayment,2365302982.518891,926
Edo,Oredo,Education,2331431399.4582,937
Edo,Oredo,Entertainment,2277239741.9175897,915
Edo,Oredo,Food,2379889900.2691236,972
Edo,Oredo,Gift,2437924929.7640524,949
Edo,Oredo,Healthcare,2260233822.6972294,907
Edo,Oredo,Insurance,2275630459.8211465,897
Edo,Oredo,Investment,2382261981.132389,968
Edo,Oredo,Medicals,2330963514.011583,931
Edo,Oredo,Rent,2371740608.3265076,963
Edo,Oredo,Restaurant,2376329632.5583715,968
Edo,Oredo,Salary,2263055200.410899,910
Edo,Oredo,Transportation,2448343875.711408,969
Enugu,Enugu North,Clothing,2398962209.972088,962
Enugu,Enugu North,Debt Repayment,2426564257.7823663,1011
Enugu,Enugu North,Education,2341098631.973295,937
Enugu,Enugu North,Entertainment,2534691016.44833,1002
Enugu,Enugu North,Food,2484922712.865004,989
Enugu,Enugu North,Gift,2566820294.8424,960
Enugu,Enugu North,Healthcare,2357517498.523874,938
Enugu,Enugu North,Insurance,2250619597.5291758,903
Enugu,Enugu North,Investment,2434476232.4299183,979
Enugu,Enugu North,Medicals,2227252219.3734207,922
Enugu,Enugu North,Rent,2558276340.44067,977
Enugu,Enugu North,Restaurant,2405828593.7600727,973
Enugu,Enugu North,Salary,2446160072.1484904,960
Enugu,Enugu North,Transportation,2427705824.553816,962
Enugu,Nsukka,Clothing,2351716702.323548,932
Enugu,Nsukka,Debt Repayment,2360814076.704947,929
Enugu,Nsukka,Education,2463688464.7414393,956
Enugu,Nsukka,Entertainment,2528237989.9622784,997
Enugu,Nsukka,Food,2417328644.745765,965
Enugu,Nsukka,Gift,2339375613.542556,919
Enugu,Nsukka,Healthcare,2323841744.7535057,929
Enugu,Nsukka,Insurance,2357173798.1410027,934
Enugu,Nsukka,Investment,2249080303.7903433,867
Enugu,Nsukka,Medicals,2273336807.875733,915
Enugu,Nsukka,Rent,2241885646.2315397,912
Enugu,Nsukka,Restaurant,2282491316.090905,921
Enugu,Nsukka,Salary,2511651303.586561,1018
Enugu,Nsukka,Transportation,2399666586.0631156,939
Enugu,Udi,Clothing,2161767029.3727674,903
Enugu,Udi,Debt Repayment,2388654949.7746253,964
Enugu,Udi,Education,2370415820.404753,973
Enugu,Udi,Entertainment,2405930762.7183757,950
Enugu,Udi,Food,2478052378.721137,993
Enugu,Udi,Gift,2470589559.5201135,959
Enugu,Udi,Healthcare,2344761564.733689,942
Enugu,Udi,Insurance,2286663037.294282,950
Enugu,Udi,Investment,2565562122.2990103,968
Enugu,Udi,Medicals,2395163789.7683134,947
Enugu,Udi,Rent,2487891467.856302,1003
Enugu,Udi,Restaurant,2537574673.9874415,1020
Enugu,Udi,Salary,2336039132.6794324,920
Enugu,Udi,Transportation,2374151422.451397,971
Kaduna,Kaduna North,Clothing,2378003660.563143,934
Kaduna,Kaduna North,Debt Repayment,2373875563.7346396,944
Kaduna,Kaduna North,Education,2271379932.841907,927
Kaduna,Kaduna North,Entertainment,2474534645.8970013,966
Kaduna,Kaduna North,Food,2334983736.9777455,916
Kaduna,Kaduna North,Gift,2415215000.271663,940
Kaduna,Kaduna North,Healthcare,2279151119.5539765,951
Kaduna,Kaduna North,Insurance,2385919342.1624556,948
Kaduna,Kaduna North,Investment,2218279873.5038714,902
Kaduna,Kaduna North,Medicals,2545409737.2431927,971
Kaduna,Kaduna North,Rent,2384511377.6287756,957
Kaduna,Kaduna North,Restaurant,2247978504.6022897,892
Kaduna,Kaduna North,Salary,2286272844.1629677,908
Kaduna,Kaduna North,Transportation,2215055389.013747,917
Kaduna,Kaduna South,Clothing,2301064288.1060033,953
Kaduna,Kaduna South,Debt Repayment,2535744761.941134,985
Kaduna,Kaduna South,Education,2415719214.134157,967
Kaduna,Kaduna South,Entertainment,2553339596.38359,1002
Kaduna,Kaduna South,Food,2421638272.9525843,956
Kaduna,Kaduna South,Gift,2431814183.464142,980
Kaduna,Kaduna South,Healthcare,2391649017.546499,962
Kaduna,Kaduna South,Insurance,2415729429.5950503,972
Kaduna,Kaduna South,Investment,2350331893.517174,921
Kaduna,Kaduna South,Medicals,2378409625.2092524,933
Kaduna,Kaduna South,Rent,2347924912.265564,912
Kaduna,Kaduna South,Restaurant,2407581954.7223296,969
Kaduna,Kaduna South,Salary,2342190769.8925433,943
Kaduna,Kaduna South,Transportation,2479023493.82819,977
Kaduna,Kafanchan,Clothing,2425303895.311727,962
Kaduna,Kafanchan,Debt Repayment,2522282463.7649145,1003
Kaduna,Kafanchan,Education,2547804233.3651743,1002
Kaduna,Kafanchan,Entertainment,2496281967.872492,986
Kaduna,Kafanchan,Food,2491174045.01769,1001
Kaduna,Kafanchan,Gift,2422133636.0865526,954
Kaduna,Kafanchan,Healthcare,2475495229.134255,982
Kaduna,Kafanchan,Insurance,2469801263.92845,996
Kaduna,Kafanchan,Investment,2364318901.5762014,947
Kaduna,Kafanchan,Medicals,2453858795.399364,964
Kaduna,Kafanchan,Rent,2297657760.3127217,945
Kaduna,Kafanchan,Restaurant,2493177936.575839,998
Kaduna,Kafanchan,Salary,2341119781.3005424,936
Kaduna,Kafanchan,Transportation,2444950671.413501,994
Kaduna,Zaria,Clothing,2389231771.1829505,977
Kaduna,Zaria,Debt Repayment,2270385584.140737,892
Kaduna,Zaria,Education,2566484558.546101,980
Kaduna,Zaria,Entertainment,2360717243.680901,938
Kaduna,Zaria,Food,2237646474.410389,916
Kaduna,Zaria,Gift,2508359963.3543324,979
Kaduna,Zaria,Healthcare,2315896721.430828,920
Kaduna,Zaria,Insurance,2342797817.063126,960
Kaduna,Zaria,Investment,2308810137.667474,926
Kaduna,Zaria,Medicals,2426595001.80943,986
Kaduna,Zaria,Rent,2405181198.3317986,934
Kaduna,Zaria,Restaurant,2286273276.866166,936
Kaduna,Zaria,Salary,2433915620.3785086,967
Kaduna,Zaria,Transportation,2393428616.6067133,962
Kano,Gwale,Clothing,2255861311.1583385,910
Kano,Gwale,Debt Repayment,2323675001.179644,929
Kano,Gwale,Education,2315436402.669404,926
Kano,Gwale,Entertainment,2388715463.9715667,930
Kano,Gwale,Food,2359693875.765981,959
Kano,Gwale,Gift,2369269982.772901,938
Kano,Gwale,Healthcare,2285198371.957533,927
Kano,Gwale,Insurance,2387779091.2220006,921
Kano,Gwale,Investment,2396264519.6636763,968
Kano,Gwale,Medicals,2350830655.7225733,944
Kano,Gwale,Rent,2274114550.1996565,886
Kano,Gwale,Restaurant,2345583224.0099463,959
Kano,Gwale,Salary,2376188573.877892,931
Kano,Gwale,Transportation,2265138737.23938,905
Kano,Kano Municipal,Clothing,2345464707.72642,946
Kano,Kano Municipal,Debt Repayment,2267102312.3702216,906
Kano,Kano Municipal,Education,2400350531.2997174,957
Kano,Kano Municipal,Entertainment,2492853070.7305,987
Kano,Kano Municipal,Food,2415936851.5720134,981
Kano,Kano Municipal,Gift,2445491382.595695,955
Kano,Kano Municipal,Healthcare,2289967972.8439746,906
Kano,Kano Municipal,Insurance,2260634491.0562162,914
Kano,Kano Municipal,Investment,2296391108.4508033,914
Kano,Kano Municipal,Medicals,2282218639.333883,934
Kano,Kano Municipal,Rent,2331374682.975766,932
Kano,Kano Municipal,Restaurant,2361980396.015565,897
Kano,Kano Municipal,Salary,2501677039.5532613,983
Kano,Kano Municipal,Transportation,2295472968.9761033,912
Kano,Nasarawa,Clothing,2343177157.3908863,949
Kano,Nasarawa,Debt Repayment,2356984323.8726015,978
Kano,Nasarawa,Education,2354867012.511143,939
Kano,Nasarawa,Entertainment,2440066971.8870406,984
Kano,Nasarawa,Food,2332843716.616368,961
Kano,Nasarawa,Gift,2507260485.5405946,983
Kano,Nasarawa,Healthcare,2348413063.0609417,950
Kano,Nasarawa,Insurance,2372510282.6334476,935
Kano,Nasarawa,Investment,2363650123.416626,970
Kano,Nasarawa,Medicals,2569294994.4310956,1011
Kano,Nasarawa,Rent,2326432940.2186303,957
Kano,Nasarawa,Restaurant,2479732169.226755,1022
Kano,Nasarawa,Salary,2409274568.555912,973
Kano,Nasarawa,Transportation,2388774502.894171,958
Kano,Tarauni,Clothing,2222591203.7387133,906
Kano,Tarauni,Debt Repayment,2198178237.4944954,913
Kano,Tarauni,Education,2274378202.4076533,901
Kano,Tarauni,Entertainment,2317643370.0548882,901
Kano,Tarauni,Food,2368367651.0763016,961
Kano,Tarauni,Gift,2361439843.4534516,896
Kano,Tarauni,Healthcare,2377841209.183737,964
Kano,Tarauni,Insurance,2484211739.8848815,969
Kano,Tarauni,Investment,2348924432.6769476,937
Kano,Tarauni,Medicals,2213636497.315258,876
Kano,Tarauni,Rent,2178795055.132923,871
Kano,Tarauni,Restaurant,2573729908.6906605,994
Kano,Tarauni,Salary,2162579362.5397477,892
Kano,Tarauni,Transportation,2315778014.409713,949
Kwara,Ilorin East,Clothing,2568185230.4692535,1014
Kwara,Ilorin East,Debt Repayment,2525160054.0117188,1000
Kwara,Ilorin East,Education,2402409398.0577035,956
Kwara,Ilorin East,Entertainment,2395095115.264411,973
Kwara,Ilorin East,Food,2339851714.1944947,948
Kwara,Ilorin East,Gift,2553551109.9994226,988
Kwara,Ilorin East,Healthcare,2528137468.442521,1010
Kwara,Ilorin East,Insurance,2262601150.057731,906
Kwara,Ilorin East,Investment,2469241207.5678964,961
Kwara,Ilorin East,Medicals,2419973119.5339847,950
Kwara,Ilorin East,Rent,2505466293.6378474,998
Kwara,Ilorin East,Restaurant,2400192114.113701,964
Kwara,Ilorin East,Salary,2281506229.0873227,934
Kwara,Ilorin East,Transportation,2587301799.3227363,1006
Kwara,Ilorin West,Clothing,2362040424.2553434,974
Kwara,Ilorin West,Debt Repayment,2383900258.7901225,916
Kwara,Ilorin West,Education,2312254146.929815,924
Kwara,Ilorin West,Entertainment,2335532627.014076,948
Kwara,Ilorin West,Food,2434600994.0191135,966
Kwara,Ilorin West,Gift,2324656092.718325,892
Kwara,Ilorin West,Healthcare,2340389366.6079383,952
Kwara,Ilorin West,Insurance,2484109125.4958463,995
Kwara,Ilorin West,Investment,2272598525.477204,924
Kwara,Ilorin West,Medicals,2372087287.515109,951
Kwara,Ilorin West,Rent,2257354195.545347,937
Kwara,Ilorin West,Restaurant,2267856590.3444295,917
Kwara,Ilorin West,Salary,2318840295.757528,939
Kwara,Ilorin West,Transportation,2395124536.397591,934
Kwara,Offa,Clothing,2556877773.887803,1006
Kwara,Offa,Debt Repayment,2489461818.762002,986
Kwara,Offa,Education,2353378160.5778804,952
Kwara,Offa,Entertainment,2413102929.301134,978
Kwara,Offa,Food,2311891590.268576,954
Kwara,Offa,Gift,2436735288.912525,937
Kwara,Offa,Healthcare,2614706929.3332415,1048
Kwara,Offa,Insurance,2430322802.143553,955
Kwara,Offa,Investment,2466162634.351006,965
Kwara,Offa,Medicals,2443776319.245374,988
Kwara,Offa,Rent,2499022886.3760824,986
Kwara,Offa,Restaurant,2440328785.081185,998
Kwara,Offa,Salary,2449031930.563275,989
Kwara,Offa,Transportation,2490983921.4202695,982
Lagos,Agege,Clothing,2247766777.13081,913
Lagos,Agege,Debt Repayment,2275020411.849739,913
Lagos,Agege,Education,2372785243.1809754,960
Lagos,Agege,Entertainment,2404380001.294757,960
Lagos,Agege,Food,2490746311.264285,982
Lagos,Agege,Gift,2426418825.153202,968
Lagos,Agege,Healthcare,2554688098.3812943,1015
Lagos,Agege,Insurance,2272365917.095559,936
Lagos,Agege,Investment,2359315862.5019293,962
Lagos,Agege,Medicals,2436940789.528438,971
Lagos,Agege,Rent,2434339853.2285624,977
Lagos,Agege,Restaurant,2391731334.424689,934
Lagos,Agege,Salary,2349482972.7408123,917
Lagos,Agege,Transportation,2371175703.783967,928
Lagos,Alimosho,Clothing,2537195171.8182716,989
Lagos,Alimosho,Debt Repayment,2411625931.3712144,953
Lagos,Alimosho,Education,2434087561.1049304,971
Lagos,Alimosho,Entertainment,2527977009.083635,1020
Lagos,Alimosho,Food,2403318938.2777066,960
Lagos,Alimosho,Gift,2408651793.697727,912
Lagos,Alimosho,Healthcare,2365430866.423539,907
Lagos,Alimosho,Insurance,2563312930.9613953,1028
Lagos,Alimosho,Investment,2401620367.566385,951
Lagos,Alimosho,Medicals,2516521535.323391,969
Lagos,Alimosho,Rent,2480039695.078088,969
Lagos,Alimosho,Restaurant,2473684264.831688,988
Lagos,Alimosho,Salary,2151431100.406982,862
Lagos,Alimosho,Transportation,2226640178.237898,921
Lagos,Eti-Osa,Clothing,2504036642.2984114,990
Lagos,Eti-Osa,Debt Repayment,2552717725.8060207,997
Lagos,Eti-Osa,Education,2362046495.1942234,981
Lagos,Eti-Osa,Entertainment,2403699781.0565715,947
Lagos,Eti-Osa,Food,2273048599.211248,920
Lagos,Eti-Osa,Gift,2521954743.67456,957
